Dataset Name,Observation Date,Series Display Name,Observation Value,Unit
Export Receipts by Commodities and Groups,31-Oct-25,............B) Leather Gloves,27804.1715,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............C) Other Leather Manufact,4105.5621,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......32 Footwear,16684.9664,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Leather Footwear,14834.0676,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............B) Canvas Footwear,12.834,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............C) Other Footwear,1838.0648,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......33 Surgical Goods & Medical Instr.,41380.8707,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......34 Cutlery,5543.162,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......35 Onyx Manufactured,470.6615,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......36 Chemical & Pharmaceutical Prod,112829.4063,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Fertilizer Manufacture,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............B) Plastic Materials,27228.8423,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............C) Pharmaceutical Product,21594.8748,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............D) Other Chemicals,64005.6892,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......37 Engineering Goods,33072.0863,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............A) Electric Fans,2344.8965,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............B) Transport Equipment,8947.1693,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............C) Other Electrical Machi.,5990.0919,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............D) Machi.nery Specialized,3211.6118,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............E) Auto Parts,1628.0883,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,............F) Other Machi.nery,10950.2285,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......38 Gems,3827.5307,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......39 Jewellary,14.2546,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......40 Furniture,565.1223,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......41 Molasses,198.72,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......42 Handicrafts,0,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......43 Cement,42598.914,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,......44 Guar and Guar Products,2529.286,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,E. All Others,255445.993,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,I. Total Export Receipts through Banks,2686757.907,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,II Freight on Export,72037.73967,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,III Export Receipts Banks (fob),2614720.167,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,IV Other Exports,17325.74882,Thousand USD
Export Receipts by Commodities and Groups,31-Oct-25,. Total Export as per BOP,2632045.916,Thousand USD
Export Receipts by Commodities and Groups,30-Sep-25,A. Food Group,369953.3825,Thousand USD
